,Date,Open,High,Low,Close*,Adj Close**,Volume
226,"Jun 21, 2023",336.37,337.73,332.07,333.56,331.57,"25,117,800"
227,"Jun 20, 2023",339.31,342.08,335.86,338.05,336.03,"26,375,400"
228,"Jun 16, 2023",351.32,351.47,341.95,342.33,340.29,"46,533,600"
229,"Jun 15, 2023",337.48,349.84,337.20,348.10,346.02,"38,899,100"
230,"Jun 14, 2023",334.34,339.04,332.81,337.34,335.33,"26,003,800"
231,"Jun 13, 2023",334.47,336.98,330.39,334.29,332.29,"22,951,300"
232,"Jun 12, 2023",328.58,332.10,325.16,331.85,329.87,"24,260,300"
233,"Jun 09, 2023",324.99,329.99,324.41,326.79,324.84,"22,514,900"
234,"Jun 08, 2023",323.94,326.64,323.35,325.26,323.32,"23,277,700"
235,"Jun 07, 2023",331.65,334.49,322.50,323.38,321.45,"40,717,100"
236,"Jun 06, 2023",335.33,335.37,332.17,333.68,331.69,"20,396,200"
237,"Jun 05, 2023",335.22,338.56,334.66,335.94,333.93,"21,307,100"
238,"Jun 02, 2023",334.25,337.50,332.55,335.40,333.40,"25,864,000"
239,"Jun 01, 2023",325.93,333.53,324.72,332.58,330.59,"26,773,900"
240,"May 31, 2023",332.29,335.94,327.33,328.39,326.43,"45,950,600"
241,"May 30, 2023",335.23,335.74,330.52,331.21,329.23,"29,503,100"
242,"May 26, 2023",324.02,333.40,323.88,332.89,330.90,"36,630,600"
243,"May 25, 2023",323.24,326.90,320.00,325.92,323.97,"43,301,700"
244,"May 24, 2023",314.73,316.50,312.61,313.85,311.98,"23,384,900"
245,"May 23, 2023",320.03,322.72,315.25,315.26,313.38,"30,797,200"
246,"May 22, 2023",318.60,322.59,318.01,321.18,319.26,"24,115,700"
247,"May 19, 2023",316.74,318.75,316.37,318.34,316.44,"27,529,500"
248,"May 18, 2023",314.53,319.04,313.72,318.52,316.62,"27,276,000"
249,"May 17, 2023",312.29,314.43,310.74,314.00,312.12,"24,315,000"
250,"May 17, 2023",0.68 Dividend,,,,,
251,"May 16, 2023",309.83,313.71,309.83,311.74,309.20,"26,730,300"
252,"May 15, 2023",309.10,309.90,307.59,309.46,306.94,"16,336,500"
253,"May 12, 2023",310.55,310.65,306.60,308.97,306.45,"19,758,100"
254,"May 11, 2023",310.10,311.12,306.26,310.11,307.59,"31,680,200"
255,"May 10, 2023",308.62,313.00,307.67,312.31,309.77,"30,078,000"
256,"May 09, 2023",308.00,310.04,306.31,307.00,304.50,"21,340,800"
